id_arrecadacao;id_uf;co_periodo;ANO2;MES;va_icms_primario;va_icms_secundario;va_icms_terciario;va_icms_terciario_atacadista;va_icms_terciario_varejista;va_icms_terciario_transportes;va_icms_terciario_comunicacao;va_icms_terciario_outros;va_icms_energia;va_icms_energia_secundario;va_icms_energia_terciario;va_icms_combustiveis;va_icms_combustiveis_secundario;va_icms_combustiveis_terciario;va_icms_divida_ativa;va_icms_outras;va_icms_total;va_outros_tributos_ipva;va_outros_tributos_itcd;va_outros_tributos_taxas;va_outros_tributos_outros;va_outros_tributos_total;va_receita_tributaria_total
5529;PR;201004;2010;4;21093996;280644984;442026995;213200831;56095854;20785562;149463924;2480824;165530059;165530059;0;182459856;157123912;25335944;3283910;38958195;1133997995;141837165;9987734;3547765;51424958;206797622;1340795617
5798;SC;201004;2010;4;3359225;227142723;347416773;98692108;129202799;18264783;81085675;20171408;111285304;0;111285304;184279519;0;184279519;1869298;0;875352842;87590932;4009981;27913574;0;119514487;994867329
6067;RS;201004;2010;4;8453059;527381209;472010260;185148546;152833184;11700989;122327541;0;148249167;5025270;143223897;311603561;260141822;51461739;15146786;51403716;1534247758;158105057;18376547;15765714;18376547;210623865;1744871623
6335;MS;201004;2010;4;63310544;25615371;153719588;63609822;56560954;2973915;28809382;1765515;22508998;339446;22169552;132934833;5676273;127258560;420441;5532943;404042718;10146230;3314295;676126;1031525;15168176;419210894
6603;MT;201004;2010;4;38003825;16666260;191076857;20795143;50588862;12925976;26862009;79904867;43003197;12900959;30102238;86913406;3911103;83002303;3347372;88274142;467285059;38273872;1819638;2083496;65363842;107540848;574825907
6871;GO;201004;2010;4;17627950;165407332;296632699;123680376;92665612;11453542;65433157;3400012;1801838;1157986;643852;137694948;30444054;107250894;41541655;22038421;682744843;37082073;4285385;3121061;330925056;375413575;1058158418
7140;DF;201004;2010;4;85699;83350789;207432148;73994613;56501991;2241659;68100143;6593742;28730777;28730777;0;87922347;3793197;84129150;1357338;905757;409784855;174178960;2802379;3376816;266022;180624177;590409032
161;RO;201005;2010;5;10544179;9225712;90968050;31470088;21605029;3327215;14336553;20229165;7908852;0;7908852;47573168;14029763;33543405;3059072;4072956;173351989;9137322;258200;2494536;33282245;45172303;218524292
430;AC;201005;2010;5;501416;975049;46491783;5567457;9465174;1216839;4516448;25725865;4103412;4103412;0;508314;375;507939;436732;0;53016706;3030195;76860;225699;0;3332754;56349460
698;AM;201005;2010;5;2792838;142760725;287666403;57588315;46747515;8437707;21619156;153273710;7289448;0;0;47818778;0;0;523010;0;488851202;15127557;156244;213380;17968603;33465784;522316986
967;RR;201005;2010;5;17181;3218403;14700385;4282662;6832396;71442;3510910;2975;1585054;1585054;0;11438811;10455103;983708;0;2907323;33867157;1743909;63921;63200;4707808;6578838;40445995
1236;PA;201005;2010;5;2926181;90874554;172307305;34248288;47150344;9331574;42974931;38602168;38202797;3408557;34794240;103579556;0;103579556;2259848;1893754;412043995;26849033;430013;8546821;32798843;68624710;480668705
1503;AP;201005;2010;5;434846;3114921;12527487;3588208;2675097;358166;3597416;2308600;30728;0;30728;14383938;0;14383938;63186;4809613;35364719;3083392;21403;1235507;154618;4494920;39859639
1771;TO;201005;2010;5;1904714;14434272;33394834;9509900;12734995;605174;8614884;1929881;8882222;8882222;0;28049012;28049012;0;497610;0;87162664;9316359;313995;1803202;1124498;12558054;99720718
2040;MA;201005;2010;5;640285;37199127;96480435;33962024;27391228;3957253;28715520;2454410;25194215;4179556;21014659;72537828;1262894;71274934;211354;6185920;238449164;20196187;254482;6772638;2044257;29267564;267716728
2308;PI;201005;2010;5;10689940;24243660;53980447;16156434;20093043;1411398;15036828;1282744;17103559;0;17103559;41076796;0;41076796;161674;115738;147371814;9356094;1013517;932848;17723;11320182;158691996
2577;CE;201005;2010;5;567333;99321783;204151361;86994951;60056490;6523114;50344631;232175;58427040;58427040;0;98446755;93439061;5007694;3732140;18762379;483408791;14143493;2617308;769975;1727;17532503;500941294
2846;RN;201005;2010;5;33174369;53491536;110201986;35181947;41300893;1324360;24416881;7977905;18953854;0;18953854;9447627;0;9447627;243;0;225269615;27334221;802409;0;0;28136630;253406245
3115;PB;201005;2010;5;355594;34206330;100384133;39097962;32452886;4048028;23068928;1716329;22892446;514541;22377905;38482762;3437989;35044773;151010;0;196472275;12640188;933546;637497;8251875;22463106;218935381
3382;PE;201005;2010;5;514087;101551396;369165124;128824362;135165849;11496800;78116386;15561727;67130626;511528;66619098;109963347;406213;109557134;1002680;4061188;653388448;50469361;2811498;14638642;13658456;81577957;734966405
